MINIMAX: Boss=(44, 36), Player=(6, 35), Choice=('MOVE', (43, 36))
MINIMAX: Boss=(43, 36), Player=(6, 36), Choice=('MOVE', (42, 36))
MINIMAX: Boss=(42, 36), Player=(8, 36), Choice=('MOVE', (41, 36))
MINIMAX: Boss=(41, 36), Player=(10, 36), Choice=('MOVE', (40, 36))
MINIMAX: Boss=(40, 36), Player=(10, 36), Choice=('MOVE', (39, 36))
MINIMAX: Boss=(39, 36), Player=(11, 36), Choice=('MOVE', (38, 36))
MINIMAX: Boss=(38, 36), Player=(13, 36), Choice=('MOVE', (37, 36))
MINIMAX: Boss=(37, 36), Player=(15, 33), Choice=('MOVE', (36, 36))
MINIMAX: Boss=(36, 36), Player=(16, 36), Choice=('MOVE', (35, 36))
MINIMAX: Boss=(35, 36), Player=(20, 36), Choice=('MOVE', (34, 36))
MINIMAX: Boss=(34, 36), Player=(20, 29), Choice=('MOVE', (33, 36))
MINIMAX: Boss=(33, 36), Player=(21, 36), Choice=('MOVE', (32, 36))
MINIMAX: Boss=(32, 36), Player=(25, 36), Choice=('MOVE', (31, 36))
MINIMAX: Boss=(31, 36), Player=(30, 36), Choice=ATTACK
MINIMAX: Boss=(31, 36), Player=(35, 36), Choice=('MOVE', (32, 36))
MINIMAX: Boss=(32, 36), Player=(39, 36), Choice=('MOVE', (33, 36))
MINIMAX: Boss=(33, 36), Player=(35, 36), Choice=('MOVE', (34, 36))
MINIMAX: Boss=(34, 36), Player=(30, 36), Choice=('MOVE', (33, 36))
MINIMAX: Boss=(33, 36), Player=(26, 36), Choice=('MOVE', (32, 36))
MINIMAX: Boss=(32, 36), Player=(21, 36), Choice=('MOVE', (31, 36))
MINIMAX: Boss=(31, 36), Player=(25, 36), Choice=('MOVE', (30, 36))
MINIMAX: Boss=(30, 36), Player=(23, 36), Choice=('MOVE', (29, 36))
MINIMAX: Boss=(29, 36), Player=(19, 36), Choice=('MOVE', (28, 36))
MINIMAX: Boss=(28, 36), Player=(16, 36), Choice=('MOVE', (27, 36))
MINIMAX: Boss=(27, 36), Player=(20, 36), Choice=('MOVE', (26, 36))
MINIMAX: Boss=(26, 36), Player=(25, 36), Choice=('MOVE', (25, 35))
MINIMAX: Boss=(25, 35), Player=(30, 36), Choice=('MOVE', (26, 35))
MINIMAX: Boss=(26, 35), Player=(34, 36), Choice=('MOVE', (27, 35))
MINIMAX: Boss=(27, 35), Player=(33, 36), Choice=('MOVE', (28, 35))
MINIMAX: Boss=(28, 35), Player=(30, 36), Choice=ATTACK
MINIMAX: Boss=(28, 35), Player=(27, 36), Choice=('MOVE', (27, 36))
MINIMAX: Boss=(27, 36), Player=(22, 36), Choice=('MOVE', (26, 36))
MINIMAX: Boss=(26, 36), Player=(17, 36), Choice=('MOVE', (25, 36))
MINIMAX: Boss=(25, 36), Player=(13, 36), Choice=('MOVE', (24, 36))
MINIMAX: Boss=(24, 36), Player=(12, 36), Choice=('MOVE', (23, 36))
MINIMAX: Boss=(23, 36), Player=(16, 36), Choice=('MOVE', (22, 36))
MINIMAX: Boss=(22, 36), Player=(21, 36), Choice=('MOVE', (21, 35))
MINIMAX: Boss=(21, 35), Player=(26, 36), Choice=('MOVE', (22, 35))
MINIMAX: Boss=(22, 35), Player=(30, 36), Choice=('MOVE', (23, 35))
MINIMAX: Boss=(23, 35), Player=(31, 36), Choice=('MOVE', (24, 35))
MINIMAX: Boss=(24, 35), Player=(26, 36), Choice=('MOVE', (25, 34))
MINIMAX: Boss=(25, 34), Player=(22, 36), Choice=('MOVE', (24, 34))
MINIMAX: Boss=(24, 34), Player=(17, 36), Choice=('MOVE', (23, 34))
MINIMAX: Boss=(23, 34), Player=(12, 36), Choice=('MOVE', (22, 34))
MINIMAX: Boss=(22, 34), Player=(17, 36), Choice=('MOVE', (21, 34))
MINIMAX: Boss=(21, 34), Player=(21, 36), Choice=ATTACK
MINIMAX: Boss=(21, 34), Player=(26, 36), Choice=('MOVE', (22, 34))
MINIMAX: Boss=(22, 34), Player=(24, 36), Choice=('MOVE', (23, 34))
MINIMAX: Boss=(23, 34), Player=(20, 36), Choice=('MOVE', (22, 34))
MINIMAX: Boss=(22, 34), Player=(16, 36), Choice=('MOVE', (21, 34))
MINIMAX: Boss=(21, 34), Player=(21, 36), Choice=WAIT
MINIMAX: Boss=(21, 34), Player=(26, 36), Choice=('MOVE', (22, 34))
MINIMAX: Boss=(22, 34), Player=(25, 36), Choice=('MOVE', (23, 34))
MINIMAX: Boss=(23, 34), Player=(20, 36), Choice=('MOVE', (22, 34))
MINIMAX: Boss=(22, 34), Player=(15, 36), Choice=('MOVE', (21, 34))
MINIMAX: Boss=(21, 34), Player=(10, 36), Choice=('MOVE', (20, 34))
MINIMAX: Boss=(20, 34), Player=(6, 36), Choice=('MOVE', (19, 34))
MINIMAX: Boss=(19, 34), Player=(3, 30), Choice=('MOVE', (18, 34))
MINIMAX: Boss=(18, 34), Player=(6, 33), Choice=('MOVE', (17, 34))
MINIMAX: Boss=(17, 34), Player=(5, 36), Choice=('MOVE', (16, 34))
MINIMAX: Boss=(16, 34), Player=(5, 29), Choice=('MOVE', (15, 34))
MINIMAX: Boss=(15, 34), Player=(8, 36), Choice=('MOVE', (14, 34))
MINIMAX: Boss=(14, 34), Player=(5, 32), Choice=('MOVE', (13, 34))
MINIMAX: Boss=(13, 34), Player=(5, 30), Choice=('MOVE', (12, 34))
MINIMAX: Boss=(12, 34), Player=(9, 36), Choice=('MOVE', (11, 34))
MINIMAX: Boss=(11, 34), Player=(13, 36), Choice=('MOVE', (12, 34))
MINIMAX: Boss=(12, 34), Player=(18, 36), Choice=('MOVE', (13, 34))
